User ID,Subscription Type,Monthly Revenue,Join Date,Month of Joining ,Year of Joining,Last Payment Date,Last Payment Year,Current Status ,Country,Age,Age group ,Gender,Device,Plan Duration
1,Basic,10,15-Jan-22,Jan,2022,10-06-2023,June,Payment Pending,United States,28,Youth,Male,Smartphone,1 Month
2,Premium,15,05-Sep-21,Sep,2021,22-06-2023,June,Payment Pending,Canada,35,Youth,Female,Tablet,1 Month
3,Standard,12,28-Feb-23,Feb,2023,27-06-2023,June,Active ,United Kingdom,42,Adult,Male,Smart TV,1 Month
4,Standard,12,10-Jul-22,Jul,2022,26-06-2023,June,Active ,Australia,51,Adult,Female,Laptop,1 Month
5,Basic,10,01-May-23,May,2023,28-06-2023,June,Active ,Germany,33,Youth,Male,Smartphone,1 Month
6,Premium,15,18-Mar-22,Mar,2022,27-06-2023,June,Active ,France,29,Youth,Female,Smart TV,1 Month
7,Standard,12,09-Dec-21,Dec,2021,25-06-2023,June,Payment Pending,Brazil,46,Adult,Male,Tablet,1 Month
8,Basic,10,02-Apr-23,Apr,2023,24-06-2023,June,Payment Pending,Mexico,39,Adult,Female,Laptop,1 Month
9,Standard,12,20-Oct-22,Oct,2022,23-06-2023,June,Payment Pending,Spain,37,Youth,Male,Smartphone,1 Month
10,Premium,15,07-Jan-23,Jan,2023,22-06-2023,June,Payment Pending,Italy,44,Adult,Female,Smart TV,1 Month
11,Basic,10,16-May-22,May,2022,22-06-2023,June,Payment Pending,United States,31,Youth,Female,Smartphone,1 Month
12,Premium,15,23-Mar-23,Mar,2023,28-06-2023,June,Active ,Canada,45,Adult,Male,Tablet,1 Month
13,Standard,12,30-Nov-21,Nov,2021,27-06-2023,June,Active ,United Kingdom,48,Adult,Female,Laptop,1 Month
14,Basic,10,01-Aug-22,Aug,2022,26-06-2023,June,Active ,Australia,27,Youth,Male,Smartphone,1 Month
15,Standard,12,09-May-23,May,2023,28-06-2023,June,Active ,Germany,38,Adult,Female,Smart TV,1 Month
16,Premium,15,07-Apr-22,Apr,2022,27-06-2023,June,Active ,France,36,Youth,Male,Tablet,1 Month
17,Basic,10,24-Jan-22,Jan,2022,25-06-2023,June,Payment Pending,Brazil,30,Youth,Female,Laptop,1 Month
18,Standard,12,18-Oct-21,Oct,2021,24-06-2023,June,Payment Pending,Mexico,43,Adult,Male,Smartphone,1 Month
19,Premium,15,15-Feb-23,Feb,2023,23-06-2023,June,Payment Pending,Spain,32,Youth,Female,Smart TV,1 Month
20,Basic,10,27-May-23,May,2023,22-06-2023,June,Payment Pending,Italy,41,Adult,Male,Tablet,1 Month
21,Premium,15,10-Jun-23,Jun,2023,22-06-2023,June,Payment Pending,United States,26,Youth,Female,Laptop,1 Month
22,Basic,10,22-Jul-22,Jul,2022,28-06-2023,June,Active ,Canada,34,Youth,Male,Smartphone,1 Month
